t,ResidualInf,NewtonSteps,L2Error,H1Error,H2Error,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,9.20938667485861e-14,1,0.00333333331756521,0.0150872206629649,0.0704818176412146,2.21963356307721e-05,17414.6961785284,0.225068777825615,2.05423356838645,1,0
0.9,1.78468351208494e-14,3,0.00122219319823039,0.00555476048192762,0.0257324071751023,0.0445455490697609,190.698495387908,0.241122122086706,2.02933360130146,1,0
0.8,6.4782013087239e-11,2,0.000451383281505218,0.00204851589529536,0.00946138401151142,0.0891649286842981,190.470552604977,0.246902915875439,2.02939791861956,1,0
0.7,4.14973611029268e-13,2,0.000249217484812777,0.00113053640310013,0.00521689838382595,0.133781454291554,190.411399204881,0.248315855210672,2.02941575447918,1,0
0.6,2.39253061806721e-14,2,0.000156032764083561,0.000707671741331592,0.0032641778133414,0.178397253609638,190.384441818606,0.248953283784567,2.02942415277225,1,0
0.5,3.1641356201817e-15,2,0.00010241843579793,0.000464452609255665,0.00214177711099169,0.223012771594968,190.369044544304,0.24931612483001,2.0294290404318,1,0
0.4,4.9960036108132e-16,2,6.75842780046897e-05,0.000306460321274147,0.00141297795717877,0.267628151693353,190.359090464374,0.249550351112022,2.02943223893435,1,0
0.3,2.22044604925031e-16,2,4.31335218437851e-05,0.000195577527250123,0.000901632024716656,0.312243454089794,190.352128670401,0.249714048312288,2.02943449514467,1,0
0.2,3.33066907387547e-16,2,2.50257655205935e-05,0.000113467928144065,0.000523052997998414,0.356858708415852,190.346986932398,0.249834902734015,2.02943617209212,1,0
0.1,8.32667268468867e-17,2,1.10761805307949e-05,5.02182576213233e-05,0.000231475460406574,0.401473930943447,190.343034342441,0.249927786805542,2.02943746751621,1,0
0,4.44089209850063e-16,2,8.01501435691363e-14,1.78107465662321e-12,1.05785559724713e-10,0.446089131348013,190.339901285959,0.250000467993583,2.02943849833752,1,0
