N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
4,5,1e-05,24,121,1,1,1e-05,1.05818132034585e-16,1.3052077687287e-10,9.9867760345862e-10,1.14961480809301e-08,4.45755531304323,1,0,
6,7,1e-07,24,121,1,1,1e-07,2.16840434497101e-19,2.0424549930396e-13,9.44611511631953e-13,6.11046431872868e-12,10.2232229845303,1,0,
8,9,1e-09,24,121,1,1,1e-09,5.42101086242752e-19,3.65892864461687e-15,5.21115775745703e-14,3.6659374854775e-12,19.8799934070062,1,0,
10,11,1e-11,24,121,1,1,1e-11,5.18031798013574e-16,2.37969346560762e-15,6.10900202851929e-14,4.18979708100695e-12,34.4438640654795,1,0,
12,13,1e-13,26,121,1,1,1e-13,5.23344388658753e-16,1.15654603136069e-14,2.37341948563352e-13,1.28779005141085e-11,54.9440745346383,1,0,
14,15,1e-15,30,121,1,1,1e-15,5.23127548224256e-16,2.65236250469969e-15,5.81283381604079e-14,3.89476519236615e-12,82.4136581148451,1,0,
16,17,1e-17,34,121,1,1,1e-17,5.23344388658753e-16,2.77762009278468e-15,1.7901907893203e-13,1.57291179876757e-11,117.88688444164,1,0,
18,19,1e-19,38,121,1,1,1e-19,5.23235968441504e-16,5.21310140870894e-15,4.66791497358387e-13,5.08749632196519e-11,162.398478760725,1,0,
20,21,1e-21,42,121,1,1,1e-21,5.23235968441504e-16,2.20417974699093e-14,6.19064201969489e-13,5.24272596495349e-11,216.98334106429,1,0,
22,23,1e-23,46,133,1,1,1e-23,5.23019128007007e-16,1.03184414011892e-14,4.14785496488525e-13,3.73144028830083e-11,282.676438099208,1,0,
24,25,1e-25,50,145,1,1,1e-25,5.23344388658753e-16,7.09728858191281e-15,3.65559772375889e-13,3.40733009958066e-11,360.512759194924,1,0,
26,27,1e-27,54,157,1,1,1e-27,5.23235968441504e-16,3.14369555654579e-14,1.04833751117548e-12,1.06576558269329e-10,451.527300534788,1,0,
28,29,1e-29,58,169,1,1,1e-29,5.23127548224256e-16,5.17153039066129e-14,1.99745758874771e-12,2.4011317225541e-10,556.755054937172,1,0,
30,31,1e-31,62,181,1,1,1e-31,5.23452808876002e-16,2.90387076535533e-14,1.37169138310537e-12,1.94755863683251e-10,677.231012558612,1,0,
32,33,1e-33,66,193,1,1,1e-33,5.23886489744996e-16,1.5638197348101e-14,5.11420505484743e-13,7.12788376388021e-11,813.9901596561,1,0,
