t,ResidualInf,NewtonSteps,QuadL2Indicator,QuadH1Indicator,QuadH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.00579627919391917,0.0316142805438361,0.28311795029085,3.86765702932243e-07,999422.747042953,-0.481932072850053,3.10427499184633,0.996326905417815,0.00367309458218549
0.1,2.02025766598869e-11,3,1.62245364921758e-05,7.24129614294666e-05,0.000330447024230378,0.100085665912033,1672.66071946484,0.249934278091354,2.03648594366487,1,0
0.001,9.99200722162641e-16,2,1.45703925395915e-07,6.50330090645925e-07,2.9680745242312e-06,0.111096106543212,1672.61800221318,0.249999503005198,2.03649123784529,1,0
1e-05,6.13398221105399e-13,1,1.45566549314492e-09,6.49716997813984e-09,3.20104603961538e-08,0.111206210917729,1672.61761890153,0.250000030290501,2.03649124819514,1,0
1e-07,6.66133814775094e-16,1,1.46027865114501e-11,6.53868103094623e-11,1.45378736174979e-08,0.111207311961618,1672.61761507002,0.250000024463495,2.03649124829852,1,0
1e-09,6.66133814775094e-16,1,2.04865912019458e-13,5.19713760614031e-12,1.33453418720351e-08,0.111207322972053,1672.61761503176,0.250000024405121,2.03649124829955,1,0
1e-11,1.55786494815402e-12,0,2.04865912019458e-13,5.19713760614031e-12,1.33453418720351e-08,0.111207323082148,1672.61761503179,0.250000024405121,2.03649124829955,1,0
1e-13,1.57351909280123e-12,0,2.04865912019458e-13,5.19713760614031e-12,1.33453418720351e-08,0.11120732308325,1672.61761503179,0.250000024405121,2.03649124829955,1,0
1e-33,1.5736301151037e-12,0,2.04865912019458e-13,5.19713760614031e-12,1.33453418720351e-08,0.111207323083261,1672.61761503178,0.250000024405121,2.03649124829955,1,0
