N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalQuadL2,FinalQuadH1,FinalQuadH2,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
4,5,1e-05,24,121,1,1,1e-05,6.13731288012787e-13,7.25438279712824e-05,0.000619411016122855,0.00920705739900677,6.93460719532556,1,0,
6,7,1e-07,24,121,1,1,1e-07,1.25008510487579e-16,7.47947540944197e-07,9.35847065800156e-06,0.000262933156309375,17.1842785663499,1,0,
8,9,1e-09,24,121,1,1,1e-09,7.7715611723761e-16,5.95616974402172e-09,9.83130800214416e-08,4.51774766565682e-06,35.1072428311855,1,0,
10,11,1e-11,24,121,1,1,1e-11,1.55864210427126e-12,3.86668052317544e-11,7.90587656377563e-10,5.41012852347705e-08,62.8944520318403,1,0,
12,13,1e-13,26,121,1,1,1e-13,1.57462931582586e-12,3.88931250343512e-13,6.25913452575682e-12,5.65820367548008e-10,102.796528923301,1,0,
14,15,1e-15,30,121,1,1,1e-15,1.57440727122093e-12,1.47001470313993e-13,7.57529073199644e-13,2.47548034080625e-10,157.086149241719,1,0,
16,17,1e-17,34,121,1,1,1e-17,1.5745182935234e-12,1.40032111747055e-13,1.1839060778361e-12,4.39895379665355e-10,228.049020142047,1,0,
18,19,1e-19,38,121,1,1,1e-19,1.57396318201108e-12,1.39698215572973e-13,3.36758741277803e-12,9.04245462311357e-10,317.979940717372,1,0,
20,21,1e-21,42,121,1,1,1e-21,1.57462931582586e-12,2.41063450779233e-13,3.83867542310386e-12,1.6642148248487e-09,429.180897163904,1,0,
22,23,1e-23,46,133,1,1,1e-23,1.57429624891847e-12,9.81217796426535e-14,3.53845356519025e-12,1.09402003929454e-09,563.959817374655,1,0,
24,25,1e-25,50,145,1,1,1e-25,1.57429624891847e-12,1.36456340491144e-13,2.87169766088775e-12,1.38206323577958e-09,724.629657269004,1,0,
26,27,1e-27,54,157,1,1,1e-27,1.57429624891847e-12,2.96792894332657e-13,6.23342716626236e-12,3.54804385439421e-09,913.507691671848,1,0,
28,29,1e-29,58,169,1,1,1e-29,1.57440727122093e-12,4.09180243031968e-13,1.23113086329363e-11,4.05602750192359e-09,1132.91496567126,1,0,
30,31,1e-31,62,181,1,1,1e-31,1.57496238273325e-12,2.65137139987348e-13,9.84433287394163e-12,5.02259079131835e-09,1385.17583595592,1,0,
32,33,1e-33,66,193,1,1,1e-33,1.5736301151037e-12,2.04865912019458e-13,5.19713760614031e-12,1.33453418720351e-08,1672.61761503178,1,0,
