t,ResidualInf,NewtonSteps,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,2.21963356307721e-05,17414.6961785284,-0.160270376265856,2.77271188777092,0.99609375,0.00390625
0.1,1.04186128319031e-11,3,0.40147399954355,190.34591404013,0.249935623306338,2.02943363559281,1,0
0.001,1.87350135405495e-16,2,0.445642980149462,190.339955275542,0.250000813739138,2.02943845533199,1,0
1e-05,6.13953332617712e-13,1,0.446084669835366,190.339901825616,0.250000473879786,2.02943849790795,1,0
1e-07,1.11022302462516e-16,1,0.44608908673289,190.339901291354,0.250000468052467,2.02943849833323,1,0
1e-09,2.22044604925031e-16,1,0.446089130901858,190.339901286015,0.250000467994163,2.02943849833748,1,0
1e-11,1.55875312657372e-12,0,0.446089131343515,190.339901286027,0.250000467994163,2.02943849833748,1,0
1e-13,1.57440727122093e-12,0,0.446089131347932,190.339901286027,0.250000467994163,2.02943849833748,1,0
0,1.5745182935234e-12,0,0.446089131347978,190.339901286026,0.250000467994163,2.02943849833748,1,0
